"species","decimalLongitude","decimalLatitude"
"Salminus_brasiliensis",-60.493382,-32.672828
"Salminus_brasiliensis",-58.34605,-34.606667
"Salminus_brasiliensis",-40.013333,-19.691389
"Salminus_brasiliensis",-58.343713,-32.166667
"Salminus_brasiliensis",-54.896389,-27.700278
"Salminus_brasiliensis",-60.440302,-32.556474
"Salminus_brasiliensis",-55.429167,-28.080278
"Salminus_brasiliensis",-59.856583,-33.276022
"Salminus_brasiliensis",-56.352522,-28.946525
"Salminus_brasiliensis",-56.563278,-29.116444
"Salminus_brasiliensis",-56.563278,-29.116444
"Salminus_brasiliensis",-56.351639,-28.945917
"Salminus_brasiliensis",-56.352522,-28.946525
"Salminus_brasiliensis",-56.563278,-29.116444
"Salminus_brasiliensis",-56.352522,-28.946525
"Salminus_brasiliensis",-56.352522,-28.946525
"Salminus_brasiliensis",-56.352522,-28.946525
"Salminus_brasiliensis",-56.563278,-29.116444
"Salminus_brasiliensis",-56.563278,-29.116444
"Salminus_brasiliensis",-56.351639,-28.945917
"Salminus_brasiliensis",-56.352522,-28.946525
"Salminus_brasiliensis",-56.563278,-29.116444
"Salminus_brasiliensis",-56.352522,-28.946525
"Salminus_brasiliensis",-56.352522,-28.946525
"Salminus_brasiliensis",-60.654726,-32.866894
"Salminus_brasiliensis",-58.215785,-32.496042
"Salminus_brasiliensis",-59.502302,-33.228503
"Salminus_brasiliensis",-59.809718,-30.962969
"Salminus_brasiliensis",-56.352522,-28.946525
"Salminus_brasiliensis",-55.123111,-27.868944
"Salminus_brasiliensis",-53.37675,-27.094167
"Salminus_brasiliensis",-56.352522,-28.946525
"Salminus_brasiliensis",-55.123111,-27.868944
"Salminus_brasiliensis",-53.37675,-27.094167
"Salminus_brasiliensis",-59.98364,-33.267551
"Salminus_brasiliensis",-58.216472,-32.52731
"Salminus_brasiliensis",-58.216858,-32.503169
"Salminus_brasiliensis",-56.439842,-21.437513
"Salminus_brasiliensis",-57.035833,-19.605833
"Salminus_brasiliensis",-57.017778,-19.576389
"Salminus_brasiliensis",-57.035833,-19.605833
"Salminus_brasiliensis",-57.017778,-19.576389
"Salminus_brasiliensis",-40.066111,-19.414444
"Salminus_brasiliensis",-53.401944,-27.102778
"Salminus_brasiliensis",-53.401944,-27.102778
"Salminus_brasiliensis",-53.889971,-27.148634
"Salminus_brasiliensis",-65.51556,-9.79278
"Salminus_brasiliensis",-60.64246,-32.836
"Salminus_brasiliensis",-60.642458,-32.835683
"Salminus_brasiliensis",-55.964456,-16.18048
"Salminus_brasiliensis",-64.879444,-9.391389
"Salminus_brasiliensis",-58.89049,-28.094195
"Salminus_brasiliensis",-57.018056,-19.576667
"Salminus_brasiliensis",-57.018056,-19.576667
"Salminus_brasiliensis",-53.6047,-25.56365
"Salminus_brasiliensis",-57.018056,-19.576667
"Salminus_brasiliensis",-57.018056,-19.576667
"Salminus_brasiliensis",-53.6047,-25.56365
"Salminus_brasiliensis",-40.916667,-19.500833
"Salminus_brasiliensis",-40.326944,-19.522203
"Salminus_brasiliensis",-58.264794,-34.243708
"Salminus_brasiliensis",-47.208056,-16.869167
"Salminus_brasiliensis",-59.424712,-29.178438
"Salminus_brasiliensis",-56.487894,-21.12821
"Salminus_brasiliensis",-56.484078,-21.126549
"Salminus_brasiliensis",-56.484078,-21.126549
"Salminus_brasiliensis",-57.018056,-19.576667
"Salminus_brasiliensis",-57.018056,-19.576667
"Salminus_brasiliensis",-42.312911,-19.235428
"Salminus_brasiliensis",-42.313,-19.235
"Salminus_brasiliensis",-56.4503,-21.173
"Salminus_brasiliensis",-57.876608,-27.31731
"Salminus_brasiliensis",-58.585284,-27.316455
"Salminus_brasiliensis",-61.378308,-24.247899
"Salminus_brasiliensis",-56.165821,-34.92672
"Salminus_brasiliensis",-49.254611,-20.423333
